timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.68E+12,4888,Shopdunk Home,200,OK,Thread Group - Shop Dunk 1-66,text,TRUE,,78439,114,507,507,https://shopdunk.com/,4707,0,1297
1.68E+12,5416,Shopdunk Home,200,OK,Thread Group - Shop Dunk 1-15,text,TRUE,,78421,114,525,525,https://shopdunk.com/,5114,0,1497
1.68E+12,4959,Shopdunk Home,200,OK,Thread Group - Shop Dunk 1-70,text,TRUE,,78445,114,533,533,https://shopdunk.com/,4769,0,983
1.68E+12,5619,Shopdunk Home,200,OK,Thread Group - Shop Dunk 1-30,text,TRUE,,78415,114,559,559,https://shopdunk.com/,5265,0,1341
1.68E+12,5687,Shopdunk Home,200,OK,Thread Group - Shop Dunk 1-2,text,TRUE,,78438,114,561,561,https://shopdunk.com/,5467,0,1514
1.68E+12,5705,Shopdunk Home,200,OK,Thread Group - Shop Dunk 1-20,text,TRUE,,78454,114,563,563,https://shopdunk.com/,5467,0,1590
1.68E+12,4936,Shopdunk Home,200,OK,Thread Group - Shop Dunk 1-106,text,TRUE,,78464,114,564,564,https://shopdunk.com/,4657,0,692
1.68E+12,1125,Shopdunk Home,503,Service Unavailable,Thread Group - Shop Dunk 1-438,text,FALSE,,1341,114,564,564,https://shopdunk.com/,1124,0,168
1.68E+12,5666,Shopdunk Home,200,OK,Thread Group - Shop Dunk 1-34,text,TRUE,,78458,114,564,564,https://shopdunk.com/,5399,0,1460
1.68E+12,736,page Iphone,503,Service Unavailable,Thread Group - Shop Dunk 1-37,text,FALSE,,1333,120,564,564,https://shopdunk.com/iphone,736,0,0
1.68E+12,939,Shopdunk Home,503,Service Unavailable,Thread Group - Shop Dunk 1-468,text,FALSE,,1333,114,564,564,https://shopdunk.com/,927,0,171
1.68E+12,1167,Shopdunk Home,503,Service Unavailable,Thread Group - Shop Dunk 1-445,text,FALSE,,1337,114,564,564,https://shopdunk.com/,1167,0,179
